buy,sell,total_ret,cagr,max_dd,sharpe
1.18,0.84,1476.47,11.19,-61.25,0.37
1.18,0.88,1474.46,11.19,-54.0,0.37
1.16,0.89,1452.27,11.13,-54.0,0.37
1.03,0.96,1451.82,11.13,-54.0,0.38
1.14,0.86,1449.03,11.12,-54.0,0.37
1.15,0.89,1448.65,11.12,-54.0,0.37
1.14,0.85,1440.59,11.1,-54.48,0.37
1.17,0.86,1436.78,11.09,-54.0,0.37
1.19,0.84,1432.08,11.07,-54.69,0.37
1.18,0.87,1423.68,11.05,-54.0,0.37
1.13,0.89,1417.75,11.03,-54.0,0.37
1.0,0.96,1407.95,11.0,-59.17,0.37
1.14,0.89,1407.57,11.0,-54.0,0.37
1.16,0.86,1393.01,10.96,-54.0,0.36
1.15,0.86,1389.64,10.95,-54.0,0.36
1.16,0.85,1382.39,10.93,-54.09,0.36
1.15,0.85,1379.09,10.92,-54.09,0.36
1.01,0.96,1378.91,10.92,-57.76,0.37
1.04,0.96,1374.69,10.91,-54.0,0.37
1.11,0.86,1362.75,10.87,-65.17,0.36
1.12,0.88,1360.93,10.87,-64.92,0.36
1.18,0.89,1360.84,10.87,-54.0,0.36
1.06,0.98,1323.85,10.76,-54.0,0.37
1.12,0.87,1315.79,10.74,-64.64,0.36
1.18,0.86,1306.73,10.71,-54.0,0.36
1.08,1.0,1296.61,10.68,-54.0,0.38
1.17,0.85,1295.75,10.67,-54.0,0.35
1.05,0.91,1289.45,10.66,-54.0,0.36
1.06,0.94,1271.3,10.6,-54.0,0.36
1.19,0.88,1258.38,10.56,-54.0,0.36
1.19,0.89,1242.75,10.51,-54.0,0.36
1.07,0.99,1240.4,10.5,-54.0,0.37
1.19,0.87,1231.62,10.47,-54.0,0.35
1.12,0.86,1212.07,10.41,-64.31,0.35
1.18,0.85,1189.35,10.34,-54.0,0.34
1.05,0.96,1188.43,10.33,-54.0,0.36
1.06,0.93,1183.24,10.32,-54.0,0.35
1.09,0.89,1161.93,10.25,-63.29,0.34
1.19,0.86,1151.47,10.21,-54.0,0.34
1.1,0.89,1118.76,10.1,-58.72,0.34
1.06,0.97,1114.68,10.08,-54.0,0.35
1.07,0.98,1096.79,10.02,-54.0,0.35
1.08,0.99,1082.09,9.97,-54.0,0.35
1.07,0.94,1066.26,9.91,-54.0,0.34
1.06,0.9,1057.32,9.88,-54.0,0.33
1.19,0.85,1053.71,9.87,-54.0,0.33
1.06,0.95,1049.6,9.85,-54.0,0.34
1.06,0.92,1015.27,9.72,-54.0,0.33
1.07,0.93,998.89,9.66,-54.0,0.33
1.08,0.98,971.15,9.55,-54.0,0.33
1.11,0.89,964.97,9.53,-58.73,0.32
1.07,0.97,960.17,9.51,-54.0,0.33
1.09,1.0,953.33,9.48,-54.0,0.34
1.12,0.89,948.13,9.46,-57.87,0.32
1.08,0.94,918.26,9.34,-54.0,0.32
1.07,0.9,909.92,9.31,-54.0,0.32
1.07,0.95,895.81,9.25,-54.0,0.32
1.07,0.92,870.16,9.14,-54.0,0.31
1.08,0.93,865.59,9.12,-54.0,0.31
1.06,0.91,853.29,9.06,-55.2,0.31
1.06,0.96,826.31,8.94,-54.0,0.31
1.09,0.99,824.25,8.93,-54.0,0.31
1.08,0.97,814.52,8.89,-54.0,0.31
1.08,0.9,781.41,8.73,-54.0,0.3
1.08,0.95,778.54,8.72,-54.0,0.3
